content;end;start
Royaume des Francs;754;481
Empire carolingien;843;754
Invasions vikings en France;1014;799
Francie occidentale;1792;843
Règne de Saint Louis;1270;1226
Guerre de Cent Ans;1453;1337
Guerres d'Italie;1559;1494
Guerres de religion;1598;1562
Guerre de Trente Ans;1648;1618
Règne de Louis XIV;1715;1661
Révolution française;1799;1789
Première République;1802;1792
Guerres de la Révolution française;1804;1792
Premier Empire;1815;1804
Guerres napoléoniennes;1815;1803
Restauration;1830;1815
Monarchie de juillet;1848;1830
Deuxième République;1852;1848
Second Empire;1870;1852
Guerre franco-allemande;1871;1870
Troisième République;1940;1870
Expansion coloniale;1919;1878
Première Guerre mondiale;1918;1914
Seconde Guerre mondiale;1945;1939
Quatrième République;1958;1946
Décolonisation;1962;1954
